Rank,Player,Team,Followers,On3 NIL Valuation,Rating
1,Bronny James,USC,13.5M,$5.9M,97.11
2,Hansel Enmanuel,Northwestern State,4.3M,$1.2M,86
3,Jared McCain,Duke,2.6M,$1M,98.66
4,Hunter Dickinson,Kansas,115K,$846K,96.29
5,Shaqir O'Neal,Texas Southern,4.4M,$819K,-
6,Zach Edey,Purdue,62K,$812K,83.83
7,Kyle Filipowski,Duke,48K,$795K,99.26
8,Trey Alexander,Creighton,49K,$775K,93.88
9,Tyler Kolek,Marquette,18.6K,$773K,-
10,Robert Dillingham,Kentucky,748K,$729K,98.1
11,Armando Bacot,North Carolina,252K,$661K,98.13
12,Isaiah Collier,USC,96K,$587K,99.39
13,DJ Wagner Jr.,Kentucky,184K,$561K,99.23
14,Justin Edwards,Kentucky,60K,$554K,99.34
15,Tyson Walker,Michigan St,33K,$537K,-
16,Ja'Kobe Walter,Baylor,54K,$526K,98.72
17,Dalton Knecht,Tennessee,11.4K,$520K,-
18,Aaron Bradshaw,Kentucky,8.7K,$518K,99.29
19,Elliot Cadeau,North Carolina,234K,$473K,98.46
20,Omaha Biliew,Iowa State,40K,$437K,98.68
21,Stephon Castle,Uconn,30K,$428K,98.9
22,Cody Williams,Colorado,3K,$407K,99.23
23,Dajuan Harris,Kansas,51K,$394K,91.27
24,Kylan Boswell,Arizona,57K,$393K,97.31
25,Wade Taylor,Texas A&M,33K,$388K,-
26,Terrence Shannon,Illinois,48K,$387K,93.74
27,Antonio Reeves,Kentucky,36K,$386K,-
28,Max Abmas,Texas,28K,$385K,-
29,Tylor Perry,Kansas St,26K,$373K,-
30,LJ Cryer,Houston,10.3K,$366K,93.29
31,Ryan Nembhard,Gonzaga,13.5K,$364K,94.66
32,Jaedon LeDee,SDSU,6.8K,$362K,93.45
33,Mackenzie Mgbako,Indiana,50K,$345K,98.52
34,Xavier Booker,Michigan St,33K,$334K,98.3
35,Caleb Love,Arizona,415K,$311K,98.98
36,Boogie Ellis,USC,152K,$299K,96.8
37,Aden Holloway,Auburn,107K,$285K,97.8
38,B. Artis-White,Western Michigan,1.8M,$253K,-
39,R.J. Davis,North Carolina,181K,$251K,96.07
40,Dug McDaniel,Michigan,86K,$247K,93.39
41,Jahvon Quinerly,Memphis,444K,$246K,98.57
42,Donovan Clingan,Uconn,52K,$240K,95.71
43,Caleb Foster,Duke,47K,$239K,97.47
44,Kevin McCullar,Kansas,48K,$238K,90.48
45,Sean Stewart,Duke,37K,$231K,97.94
46,Adem Bona,UCLA,19.2K,$224K,98.19
47,Kwame Evans Jr.,Oregon,17.3K,$223K,98.1
48,Wooga Poplar,Miami,14.8K,$216K,91.5
49,DaRon Holmes,Dayton,19.7K,$216K,95.77
50,Gabe Cupps,Indiana,361K,$214K,92.48
51,Ryan Kalkbrenner,Creighton,12.4K,$213K,92.88
52,Tyrese Proctor,Duke,143K,$210K,95.7
53,TJ Power,Duke,3.8K,$204K,97.66
54,Noah Farrakhan,West Virginia,328K,$197K,86.33
55,Kel'el Ware,Indiana,39K,$183K,99.19
56,Bryce Hopkins,Providence,36K,$176K,96.49
57,Grant Nelson,Alabama,23K,$172K,-
58,Judah Mintz,Syracuse,30K,$172K,95.35
59,K.J. Simpson,Colorado,8.4K,$165K,93.4
60,Carlton Carrington,Pitt,1.7K,$154K,92.67
61,Dior Johnson,Pitt,563K,$152K,95.47
62,Jeremy Roach,Duke,75K,$152K,98.46
63,Devin Carter,Providence,111K,$151K,93.33
64,Dusty Stromer,Gonzaga,150K,$150K,95.64
65,Skyy Clark,Louisville,243K,$143K,96.67
66,Cam'Ron Fletcher,Florida St,232K,$142K,95.19
67,Andrej Stojakovic,Stanford,62K,$139K,97.13
68,Zion Harmon,Bethune Cookmen,233K,$138K,94.69
69,Coen Carr,Michigan St,118K,$137K,96.6
70,Norchad Omier,Miami,29K,$124K,-
71,Reed Sheppard,Kentucky,69K,$124K,96.2
72,Reece Beekman,Virginia,22K,$123K,95.28
73,Justin Moore,Villinova,28K,$122K,96.53
74,Elmarko Jackson,Kansas,16K,$121K,97.15
75,Mike Sharavjamts,San Francisco,203K,$120K,93.67
76,Jamal Shead,Houston,39K,$119K,89.67
77,Corneilous Williams,Western Carolina,197K,$119K,80
78,Jarin Stevenson,Alabama,4.2K,$115K,97.36
79,Baylor Scheierman,Creighton,14K,$113K,-
80,Trevon Brazile,Arkansas,69K,$108K,-
81,Hunter Sallis,Wake Forest,64K,$105K,98.28
82,Tre Mitchell,Texas,30K,$105K,93.83
83,Tyrese Hunter,Texas,26K,$105K,96.46
84,Jackson Shelstad,Oregon,22K,$100K,97.03
85,Cliff Omoruyi,Rutgers,27K,$100K,96.04
86,P.J. Hall,Clemson,32K,$100K,95.85
87,Harrison Ingram,North Carolina,30K,$99K,98
88,Jeremy Fears,Michigan St,61K,$98K,95.96
89,Hercy Miller,Xavier,173K,$98K,-
90,Oumar Ballo,Arizona,24K,$97K,-
91,Mark Sears,Alabama,17.8K,$97K,-
92,Braden Smith,Purdue,18.8K,$97K,85.42
93,Pelle Larsson,Arizona,15.7K,$95K,86.78
94,Keion Brooks,Washington,63K,$92K,97.98
95,Kevin Miller,Wake Forest,154K,$92K,-
96,Johnell Davis,Florida Atlantic,13.2K,$91K,-
97,Alex Karaban,Uconn,10.9K,$90K,92.59
98,Mookie Cook,Oregon,52K,$90K,96.59
99,Micah Handlogten,Florida,4K,$89K,82
100,Kowacie Reeves,Georgia Tech,140K,$88K,96.45
